Period,Value
01/01/92,790
02/01/92,539
03/01/92,535
04/01/92,523
05/01/92,552
06/01/92,589
07/01/92,592
08/01/92,894
09/01/92,861
10/01/92,645
11/01/92,642
12/01/92,1165
01/01/93,998
02/01/93,568
03/01/93,602
04/01/93,583
05/01/93,612
06/01/93,618
07/01/93,607
08/01/93,983
09/01/93,903
10/01/93,669
11/01/93,692
12/01/93,1273
01/01/94,1053
02/01/94,635
03/01/94,634
04/01/94,610
05/01/94,684
06/01/94,724
07/01/94,678
08/01/94,1154
09/01/94,1022
10/01/94,732
11/01/94,772
12/01/94,1409
01/01/95,1308
02/01/95,718
03/01/95,695
04/01/95,688
05/01/95,785
06/01/95,808
07/01/95,782
08/01/95,1248
09/01/95,1102
10/01/95,746
11/01/95,850
12/01/95,1466
01/01/96,1373
02/01/96,757
03/01/96,743
04/01/96,750
05/01/96,853
06/01/96,838
07/01/96,786
08/01/96,1359
09/01/96,1040
10/01/96,899
11/01/96,908
12/01/96,1599
01/01/97,1558
02/01/97,825
03/01/97,813
04/01/97,806
05/01/97,894
06/01/97,875
07/01/97,830
08/01/97,1301
09/01/97,1158
10/01/97,923
11/01/97,994
12/01/97,1765
01/01/98,1463
02/01/98,921
03/01/98,882
04/01/98,854
05/01/98,919
06/01/98,939
07/01/98,881
08/01/98,1385
09/01/98,1246
10/01/98,953
11/01/98,990
12/01/98,1849
01/01/99,1514
02/01/99,990
03/01/99,976
04/01/99,933
05/01/99,976
06/01/99,1031
07/01/99,1023
08/01/99,1386
09/01/99,1240
10/01/99,1019
11/01/99,1088
12/01/99,1996
01/01/00,1505
02/01/00,1090
03/01/00,1031
04/01/00,975
05/01/00,1104
06/01/00,1122
07/01/00,1048
08/01/00,1594
09/01/00,1406
10/01/00,1014
11/01/00,1098
12/01/00,1892
01/01/20,1585
02/01/20,1070
03/01/20,1062
04/01/20,934
05/01/20,1070
06/01/20,1077
07/01/20,1005
08/01/20,1820
09/01/20,1406
10/01/20,1015
11/01/20,1098
12/01/20,1956
01/02/20,1971
02/02/20,1000
03/02/20,1008
04/02/20,966
05/02/20,1116
06/02/20,1045
07/02/20,1038
08/02/20,1797
09/02/20,1490
10/02/20,997
11/02/20,1059
12/02/20,1950
01/03/20,2056
02/03/20,991
03/03/20,925
04/03/20,975
05/03/20,1107
06/03/20,1181
07/03/20,1128
08/03/20,2139
09/03/20,1572
10/03/20,1045
11/03/20,1036
12/03/20,2064
01/04/20,2146
02/04/20,1108
03/04/20,1073
04/04/20,1023
05/04/20,1113
06/04/20,1207
07/04/20,1172
08/04/20,2120
09/04/20,1561
10/04/20,1069
11/04/20,1089
12/04/20,2200
01/05/20,2076
02/05/20,1086
03/05/20,1101
04/05/20,997
05/05/20,1120
06/05/20,1154
07/05/20,1214
08/05/20,2218
09/05/20,1554
10/05/20,1064
11/05/20,1151
12/05/20,2257
01/06/20,2225
02/06/20,1101
03/06/20,1092
04/06/20,987
05/06/20,1176
06/06/20,1238
07/06/20,1135
08/06/20,2142
09/06/20,1554
10/06/20,1054
11/06/20,1142
12/06/20,2132
01/07/20,2220
02/07/20,1039
03/07/20,1027
04/07/20,930
05/07/20,1134
06/07/20,1161
07/07/20,1220
08/07/20,2327
09/07/20,1578
10/07/20,1129
11/07/20,1227
12/07/20,2179
01/08/20,2300
02/08/20,1157
03/08/20,1026
04/08/20,1004
05/08/20,1158
06/08/20,1073
07/08/20,1121
08/08/20,2425
09/08/20,1471
10/08/20,1024
11/08/20,1034
12/08/20,2008
01/09/20,2189
02/09/20,970
03/09/20,945
04/09/20,913
05/09/20,1053
06/09/20,1040
07/09/20,1038
08/09/20,2296
09/09/20,1522
10/09/20,960
11/09/20,965
12/09/20,1911
01/10/20,2150
02/10/20,948
03/10/20,948
04/10/20,858
05/10/20,1015
06/10/20,1020
07/10/20,1003
08/10/20,2134
09/10/20,1400
10/10/20,905
11/10/20,978
12/10/20,1879
01/11/20,1950
02/11/20,960
03/11/20,881
04/11/20,797
05/11/20,936
06/11/20,902
07/11/20,865
08/11/20,2142
09/11/20,1335
10/11/20,751
11/11/20,797
12/11/20,1400
01/12/20,1716
02/12/20,821
03/12/20,756
04/12/20,742
05/12/20,887
06/12/20,839
07/12/20,785
08/12/20,1836
09/12/20,1097
10/12/20,717
11/12/20,755
12/12/20,1318
01/13/20,1658
02/13/20,741
03/13/20,707
04/13/20,664
05/13/20,821
06/13/20,724
07/13/20,706
08/13/20,1569
09/13/20,1108
10/13/20,720
11/13/20,744
12/13/20,1327
01/14/20,1482
02/14/20,729
03/14/20,683
04/14/20,681
05/14/20,792
06/14/20,700
07/14/20,704
08/14/20,1700
09/14/20,1068
10/14/20,726
11/14/20,728
12/14/20,1332
01/15/20,1485
02/15/20,687
03/15/20,657
04/15/20,654
05/15/20,752
06/15/20,685
07/15/20,695
08/15/20,1550
09/15/20,1066
10/15/20,720
11/15/20,726
12/15/20,1321
01/16/20,1427
02/16/20,688
03/16/20,682
04/16/20,672
05/16/20,742
06/16/20,678
07/16/20,654
08/16/20,1499
09/16/20,1040
10/16/20,690
11/16/20,720
12/16/20,1249
01/17/20,1386
02/17/20,676
03/17/20,695
04/17/20,717
05/17/20,771
06/17/20,689
07/17/20,651
08/17/20,1378
09/17/20,980
10/17/20,655
11/17/20,663
12/17/20,1114
01/18/20,1217
02/18/20,641
03/18/20,659
04/18/20,631
05/18/20,699
06/18/20,638
07/18/20,611
08/18/20,1226
09/18/20,869
10/18/20,639
11/18/20,665
12/18/20,1122
